x,z,y
59.75,26.86,7.98
60.10,27.21,7.98
60.46,27.57,7.98
60.81,27.92,7.98
61.16,28.27,7.98
61.52,28.63,7.98
61.87,28.98,7.98
62.22,29.33,7.98
62.58,29.69,7.98
62.93,30.04,7.98
63.29,30.40,7.98
63.64,30.75,7.98
63.99,31.10,7.98
64.35,31.46,7.98
64.70,31.81,7.98
65.05,32.16,7.98
65.41,32.52,7.98
65.76,32.87,7.98
66.11,33.22,7.98
66.47,33.58,7.98
66.82,33.93,7.98
67.17,34.28,7.98
67.53,34.64,7.98
67.88,34.99,7.98
68.24,35.35,7.98
68.59,35.70,7.98
68.94,36.05,7.98
69.30,36.41,7.98
69.65,36.76,7.98
70.00,37.11,7.98
70.36,37.47,7.98
70.71,37.82,7.98
71.06,38.17,7.98
71.42,38.53,7.98
71.77,38.88,7.98
72.12,39.23,7.98
72.48,39.59,7.98
72.83,39.94,7.98
73.19,40.30,7.98
73.54,40.65,7.98
73.89,41.00,7.98
74.25,41.36,7.98
74.60,41.71,7.98
74.95,42.06,7.98
75.31,42.42,7.98
75.66,42.77,7.98
76.01,43.12,7.98
76.37,43.48,7.98
76.72,43.83,7.98
77.07,44.18,7.98
77.43,44.54,7.98
77.78,44.89,7.98
78.13,45.24,7.98
78.49,45.60,7.98
78.84,45.95,7.98
79.20,46.31,7.98
79.55,46.66,7.98
79.90,47.01,7.98
80.26,47.37,7.98
80.61,47.72,7.98
80.96,48.07,7.98
81.32,48.43,7.98
81.67,48.78,7.98
82.02,49.13,7.98
82.38,49.49,7.98
82.73,49.84,7.98
83.08,50.19,7.98
83.44,50.55,7.98
83.79,50.90,7.98
84.15,51.26,7.98
84.50,51.61,7.98
84.85,51.96,7.98
85.21,52.32,7.98
85.56,52.67,7.98
85.91,53.02,7.98
86.27,53.38,7.98
86.62,53.73,7.98
86.97,54.08,7.98
87.33,54.44,7.98
87.68,54.79,7.98
88.03,55.14,7.98
88.39,55.50,7.98
88.74,55.85,7.98
89.09,56.20,7.98
89.45,56.56,7.98
89.80,56.91,7.98
90.16,57.27,7.98
90.51,57.62,7.98
90.86,57.97,7.98
91.22,58.33,7.98
91.57,58.68,7.98
91.92,59.03,7.98
92.28,59.39,7.98
92.63,59.74,7.98
92.98,60.09,7.98
93.34,60.45,7.98
93.69,60.80,7.98
94.04,61.15,7.98
94.40,61.51,7.98
94.75,61.86,7.98
95.11,62.22,7.98
95.46,62.57,7.98
95.81,62.92,7.98
96.17,63.28,7.98
96.52,63.63,7.98
96.87,63.98,7.98
97.23,64.34,7.98
97.58,64.69,7.98
97.93,65.04,7.98
98.29,65.40,7.98
98.64,65.75,7.98
98.99,66.10,7.98
99.35,66.46,7.98
99.70,66.81,7.98
100.06,67.17,7.98
100.41,67.52,7.98
100.76,67.87,7.98
101.12,68.23,7.98
